         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numerictypes.py:339(_add_integer_aliases)
       18    0.000    0.000    0.000    0.000 sre_parse.py:237(_class_escape)
       29    0.000    0.000    0.000    0.000 sre_parse.py:75(opengroup)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
       30    0.000    0.000    0.000    0.000 numerictypes.py:444(_add_array_type)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:416(decorating_function)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       78    0.000    0.000    0.000    0.000 _internal.py:726(<genexpr>)
      352    0.000    0.000    0.000    0.000 {globals}
       70    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
      173    0.000    0.000    0.000    0.000 {_sre.getlower}
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       42    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:331(prep_simple)
       12    0.000    0.000    0.000    0.000 polynomial.py:1103(__array__)
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
       48    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       21    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
       44    0.000    0.000    0.000    0.000 encoder.py:341(_iterencode_dict)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        3    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.000    0.000 zutils.py:52(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       24    0.000    0.000    0.000    0.000 {_sre.compile}
      288    0.000    0.000    0.000    0.000 {chr}
        2    0.000    0.000    0.000    0.000 core.py:6429(__init__)
        8    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2460(seterr)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      106    0.000    0.000    0.000    0.000 sre_parse.py:222(isident)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 core.py:3064(view)
        3    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 ast.py:32(parse)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      130    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.correlate}
        1    0.000    0.000    0.000    0.000 {compile}
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
      214    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 bigint.py:50(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:74(_determine_error_states)
       36    0.000    0.000    0.000    0.000 zpoly.py:444(reverse)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
      177    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       61    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        3    0.000    0.000    0.000    0.000 numeric.py:2857(__enter__)
       63    0.000    0.000    0.000    0.000 {repr}
        5    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
    49/34    0.000    0.000    0.000    0.000 encoder.py:288(_iterencode_list)
       47    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
      148    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 ufunclike.py:14(_deprecate_out_named_y)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       35    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 encoder.py:212(iterencode)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 numerictypes.py:429(_construct_char_code_lookup)
        2    0.000    0.000    0.000    0.000 core.py:2908(_update_from)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       12    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       29    0.000    0.000    0.000    0.000 sre_parse.py:86(closegroup)
       13    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 core.py:6282(__array_finalize__)
       36    0.000    0.000    0.000    0.000 bigint.py:327(__eq__)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
       12    0.000    0.000    0.000    0.000 polynomial.py:1041(coeffs)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        2    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
       40    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
       84    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
       29    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        4    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
       24    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
       53    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       13    0.000    0.000    0.000    0.000 groth_protocol.py:233(<dictcomp>)
       12    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
        8    0.000    0.000    0.000    0.000 core.py:2547(_arraymethod)
       52    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
       14    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
        2    0.000    0.000    0.000    0.000 zfield.py:523(__isub__)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _iotools.py:489(StringConverter)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:2862(__exit__)
